1466859601 , 32.956
1466859901 , 32.957
1466860201 , 33.053
1466860501 , 33.196
1466860801 , 32.653
1466861101 , 32.746
1466861401 , 33.057
1466861701 , 33.011
1466862001 , 33.234
1466862302 , 33.190
1466862601 , 33.053
1466862901 , 33.086
1466863201 , 33.080
1466863501 , 32.562
1466863801 , 33.088
1466864101 , 33.289
1466864401 , 33.055
1466864701 , 32.649
1466865001 , 32.985
1466865301 , 32.955
1466865601 , 33.409
1466865901 , 33.151
1466866201 , 39.544
1466866501 , 32.895
1466866801 , 33.282
1466867101 , 32.931
1466867401 , 33.252
1466867701 , 32.981
1466868001 , 33.107
1466868301 , 33.129
1466868601 , 33.078
1466868901 , 33.103
1466869201 , 33.225
1466869501 , 32.727
1466869801 , 33.051
1466870101 , 33.015
1466870401 , 32.848
1466870701 , 32.748
1466871001 , 32.882
1466871301 , 33.032
1466871601 , 179.691
1466871901 , 32.877
1466872201 , 32.863
1466872501 , 35.065
1466872801 , 32.749
1466873101 , 32.691
1466873401 , 34.839
1466873701 , 168.609
1466874001 , 32.926
1466874301 , 33.050
1466874601 , 33.791
1466874901 , 33.016
1466875201 , 33.055
1466875501 , 32.941
1466875801 , 32.831
1466876101 , 32.606
1466876401 , 32.780
1466876701 , 32.615
1466877001 , 32.901
1466877301 , 32.708
1466877601 , 32.759
1466877901 , 32.713
1466878202 , 33.014
1466878501 , 33.384
1466878801 , 32.923
1466879101 , 38.842
1466879401 , 33.049
1466879701 , 32.981
1466880001 , 32.592
1466880301 , 32.786
